paper_id,online_weight_update,stateful_agent,partial_verifier,exact_branch_credit,trace_repair_or_reuse,sequential_commit_gate,prequential_future_transfer,hidden_holdout,matched_cost,closest_claim,overlap_risk,notes
ttrl_2504.16084,yes,no,no,no,no,no,no,no,no,"test-time RL on unlabeled data via majority-vote reward + GRPO",medium,"Math reasoning only; no stateful envs, no evidence tiers, no gate. Baseline Family C."
t3rl_2603.02203,yes,no,yes,no,no,no,no,no,no,"tool-verified pseudo-label weighting for TTRL on math",high,"Covers 'verifier-weighted pseudo reward' cell for math. Missing: state-changing tools, signed branch credit, commit, future transfer."
gtta_2511.04847,partial,no,no,no,no,no,no,no,no,"adaptation vector (logit offset) + dynamics grounding for WebArena",medium,"No parameter RL, no evidence tiers, no gate, no prequential."
ace_2510.04618,no,no,no,no,no,no,no,no,no,"evolving context playbook from execution feedback",medium,"Context-level only; AppWorld results; strong Family A baseline."
olivia_2605.11169,no,no,no,no,no,no,no,no,no,"UCB linear bandit over action layer with frozen hidden states",medium,"Action-level online adaptation without gradient; no signed multi-step credit, no gate."
memopilot_2606.08656,no,no,no,no,no,no,no,no,no,"GRPO-trained memory copilot (frozen player)",medium,"Parameter update is on memory writer, not policy; test-time learning framing; strong baseline."
seal_2506.10943,yes,no,no,no,yes,no,no,no,no,"self-edits + ReSTEM outer RL for self-adaptation",low,"Training-time self-edits; different mechanism (generated finetuning data)."
amplification_2603.15417,n/a,no,no,no,no,no,no,no,no,"safety/reasoning vulnerabilities of self-consistency TTRL",low,"Risk evidence for C2 motivation; not a method."
causalflow_2605.25338,no,no,no,yes,yes,no,no,no,no,"step-level counterfactual intervention + CRS + minimal repair + reuse",high,"Closest to C1's counterfactual mechanism but OFFLINE repair/supervision, no online policy update, no commit gate, no prequential."
counterfactual_shapley_2607.16999,yes,no,no,yes,no,no,no,no,no,"phi-values (counterfactual Shapley) for general RL credit",medium,"General RL theory; not agent/deployment-specific; no gate."
jitrl_2601.18510,no,no,no,no,no,no,partial,no,no,"training-free test-time RL via memory advantages + logit modulation",medium,"Non-parametric; WebArena/Jericho SOTA training-free; strong Family A/B baseline; no parameter update."
att_timetraining_2607.03441,yes,yes,no,no,no,no,no,no,no,"in-episode LoRA TTT with repetition-filtered updates (agents)",high,"Closest to 'deployment-period parameter updates for agents' but TTT (no RL, no evidence tiers, no gate, no prequential, no counterfactual credit)."
cvt_rl_2606.05263,yes,yes,yes,yes,no,no,no,no,no,"PCCC policy-conditioned counterfactual credit + validity gating + DR estimator (training-time RL)",high,"Closest to C1 mechanism; TRAINING-time, full verified reward, no commit gate, no deployment loop."
pace_2606.08106,no,no,no,no,no,yes,no,no,no,"anytime-valid e-process commit gate for self-modifying agents (prompt-level)",high,"Closest to C2 concept; prompt-level, offline eval, no parameter RL, no partial evidence, no anchor retention."
